,regularizer1,regularizer2,epochs,price_r_score,return_r_score,price_mse,return_mse
109,0.0,0.01,200.0,0.7241062083462242,-0.010846377893235948,7.894010989190102e-06,5.997820980535366e-06
110,0.0,0.05,200.0,0.7109677328411061,-0.012463479677766287,8.01278755251059e-06,6.097286216249537e-06
111,0.0,0.1,200.0,0.7661897849358108,-0.01968654683627946,6.110789679300126e-06,4.66670631723308e-06
112,0.0,0.3,200.0,0.9241455505170904,-0.05367641672817869,1.6842780403964945e-06,1.3385260189312656e-06
113,0.0,0.5,200.0,0.9460277127532246,-0.07706723588377451,1.173833481312529e-06,9.587945120001805e-07
114,0.01,0.0,200.0,0.6323294239328494,-0.009691852909975873,1.1679008513767151e-05,8.909875738300133e-06
115,0.01,0.01,200.0,0.7937179769421303,-0.015150050259713277,5.282293796422567e-06,4.015187542765639e-06
116,0.01,0.05,200.0,0.5836876435250355,-0.0012553935512931158,1.4605783954041769e-05,1.0960472594497919e-05
117,0.01,0.1,200.0,0.6215547237604608,-0.04321044927379103,1.215689164465165e-05,9.228805692810515e-06
118,0.01,0.3,200.0,0.9763957829045872,-0.14855569731092988,4.914134324764516e-07,4.2608239977413637e-07
119,0.01,0.5,200.0,0.9840766078772024,-0.2513154996157443,3.301608281057975e-07,3.1089933086924264e-07
120,0.05,0.0,200.0,0.5573577203784545,-0.0039601826751611835,1.5536643015936712e-05,1.184293359803133e-05
121,0.05,0.01,200.0,0.6248404174294881,-0.006909230217623241,1.1991701330616323e-05,9.060135711379454e-06
122,0.05,0.05,200.0,0.8392751691251752,-0.04094565897433511,3.858802337652412e-06,2.9597965009466703e-06
123,0.05,0.1,200.0,0.920880599958886,-0.04786362352326279,1.7524146992535153e-06,1.3792431406867399e-06
124,0.05,0.3,200.0,0.9650145345784067,-0.11976673111436553,7.39298754138442e-07,6.223388505374596e-07
125,0.05,0.5,200.0,0.9869341525845805,-0.3216684683347233,2.699534903149594e-07,2.6263558919213906e-07
126,0.1,0.0,200.0,0.7500310507818696,-0.010498817728703314,6.845072897067775e-06,5.284537596964809e-06
127,0.1,0.01,200.0,0.5692741896097335,-0.0071161549492329,1.5784461481131744e-05,1.1958960452263331e-05
128,0.1,0.05,200.0,0.8358092770743155,-0.016616756245708686,4.033141369059991e-06,3.056630360704834e-06
129,0.1,0.1,200.0,0.8239523244647102,-0.0158170801511317,4.338438926594847e-06,3.2967851912825275e-06
130,0.1,0.3,200.0,0.9663508944817933,-0.10860129536162155,7.111936758914491e-07,5.944591624308813e-07
131,0.1,0.5,200.0,0.9767600935704448,-0.1718161243169749,4.848286457015009e-07,4.268608951602709e-07
132,0.3,0.0,200.0,0.84489967090278,-0.028795744332393403,3.7422194288321994e-06,2.885428884771918e-06
133,0.3,0.01,200.0,0.9494403152658379,-0.07246357340475473,1.0894953784410575e-06,8.771871219388838e-07
134,0.3,0.05,200.0,0.9560074678635296,-0.0979710051655871,9.397810921358321e-07,7.723644192124991e-07
135,0.3,0.1,200.0,0.9135012202897712,-0.04476240529693798,1.9287504767390506e-06,1.5173887373032708e-06
136,0.3,0.3,200.0,0.9870141891688019,-0.30753803171445115,2.6880691748653215e-07,2.6478123445250305e-07
137,0.3,0.5,200.0,0.9971458577402138,-1.3919240924852665,5.819271634017594e-08,1.0391919888869624e-07
138,0.5,0.0,200.0,0.9951633033748198,-0.8348822903403921,9.91427888926793e-08,1.3642833426522974e-07
139,0.5,0.01,200.0,0.958375104759468,-0.10811646990356594,8.812152999541165e-07,7.223908426325911e-07
140,0.5,0.05,200.0,0.9631245802621681,-0.11592379687172949,7.838896937524484e-07,6.577035023090689e-07
141,0.5,0.1,200.0,0.9814809735849186,-0.22823842987180187,3.8318133586011245e-07,3.511627108191574e-07
142,0.5,0.3,200.0,0.9971162463267352,-1.3759387548305453,5.8976735772789825e-08,1.0516398951267115e-07
143,0.5,0.5,200.0,0.998573126211403,-3.1466709756337883,2.912500951197345e-08,8.418101263376356e-08
144,0.0,0.0,250.0,0.41108816019407335,-0.003427059246465358,2.764230640465469e-05,2.062229672916406e-05
145,0.0,0.01,250.0,0.5692248331794576,-0.0030654441163167068,1.5196669020258534e-05,1.144269259894934e-05
146,0.0,0.05,250.0,0.6253558611038746,-0.011839028555318265,1.1908453061151826e-05,8.984068241276339e-06
147,0.0,0.1,250.0,0.7199661442311878,-0.013973898508174765,7.849543015617672e-06,5.949716747751824e-06
148,0.0,0.3,250.0,0.9176046348506275,-0.057136539325754354,1.8157239961893064e-06,1.4334717160074893e-06
149,0.0,0.5,250.0,0.9809268339921916,-0.2191262674316916,3.95273345534554e-07,3.597853161574867e-07
150,0.01,0.0,250.0,0.6426634534558442,-0.013236193220372616,1.1369431157984648e-05,8.573537467298673e-06
151,0.01,0.01,250.0,0.6368151176019021,-0.007075483171808061,1.162824370684602e-05,8.879087662656388e-06
152,0.01,0.05,250.0,0.8376138880416155,-0.027186822694241997,4.014689264536346e-06,3.1236004264826124e-06
